id_champi;nom
1060;Russula solaris
1061;Russula sororia
1062;Russula turci
1063;Russula undulata
1064;Russula velenovskyi
1065;Russula versicolor
1066;Russula vesca
1067;Russula vinosa
1068;Russula violeipes
1069;Russula virescens
1070;Russula xerampelina
1071;Rutstroemia bulgarioides
1072;Sarcodon imbricatum
1073;Sarcodon imbricatus
1074;Sarcodon joeides
1075;Sarcodon scabrosus
1076;Sarcodontia crocea
1077;Sarcomyxa serotina
1078;Sarcoscypha austriaca
1079;Sarcoscypha coccinea
1080;Sarcosphaera coronaria
1081;Sarcosphaera crassa
1082;Sarcosphera coronaria
1083;Sarcosphera crassa
1084;Schizophyllum commune
1085;Schizopora paradoxa
1086;Scleroderma areolatum
1087;Scleroderma citrinum
1088;Scleroderma verrucosum
1089;Sclerotinia tuberosa
1090;Scutellinia barlae
1091;Scutellinia scutellata
1092;Scutellinia trechispora
1093;Scutiger subrubescens
1094;Sepultaria arenosa
1095;Serpula himantioides
1096;Serpula lacrymans
